species,n_date,n_loc
Cancer pagurus,2285,178
Candelaria concolor,3174,1421
Candelariella aurella,1706,922
Candelariella efflorescens,1471,752
Candelariella medians,927,514
Candelariella vitellina,2531,1257
Candelariella xanthostigma,358,243
Candolleomyces candolleanus,992,758
Canis lupus,488,188
Cannabis sativa,570,368
Cantharellus cibarius,1665,599
Cantharis decipiens,621,848
Cantharis fusca,829,1721
Cantharis livida,736,1577
Cantharis nigricans,462,720
Cantharis obscura,639,1018
Cantharis pellucida,387,488
Capraiellus panzeri,648,268
Capreolus capreolus,5844,1918
Caprimulgus europaeus,1767,462
Capsella bursa-pastoris,5090,2005
Capsus ater,505,541
Capua vulgana,447,343
Carabus auratus,624,272
Carabus auronitens,356,62
Carabus coriaceus,963,210
Carabus granulatus,2312,1025
Carabus monilis,482,137
Carabus nemoralis,1725,829
Carabus problematicus,2030,600
Carabus violaceus,748,210
Caradrina clavipalpis,1854,746
Caradrina kadenii,938,724
Caradrina morpheus,945,997
Carassius auratus,533,310
Carassius carassius,626,327
Carassius gibelio,1209,521
Carcharodus alceae,1241,199
Carcina quercana,1644,1251
Carcinus maenas,3851,321
Cardamine amara,1179,275
Cardamine bulbifera,407,111
Cardamine corymbosa,336,246
Cardamine flexuosa,3896,1583
Cardamine hirsuta,4598,2020
Cardamine impatiens,664,168
Cardamine occulta,1237,632
Cardamine pratensis,3420,2003
Cardiastethus fasciiventris,730,324
Carduelis carduelis,5844,2072
Carduus crispus,3893,1361
Carduus nutans,2364,451
Carex acuta,1902,886
Carex acutiformis,1896,736
Carex arenaria,3377,732
Carex canescens,964,491
Carex caryophyllea,748,87
Carex colchica,364,92
Carex demissa,1910,689
Carex demissa × oederi,515,297
Carex diandra,372,68
Carex distans,1234,228
Carex disticha,1940,954
Carex echinata,1202,405
Carex elata,1353,397
Carex elongata,1084,327
Carex extensa,1179,125
Carex flacca,2310,575
Carex hirta,3001,1552
Carex hostiana,704,91
Carex lasiocarpa,896,198
Carex leporina,1602,959
Carex nigra,1873,929
Carex oederi,1919,515
Carex otrubae,2350,1115
Carex pallescens,712,169
Carex panicea,2633,752
Carex paniculata,2414,712
Carex pendula,2514,908
Carex pilulifera,3087,792
Carex pseudocyperus,2333,1163
Carex pulicaris,667,87
Carex remota,2919,866
Carex riparia,2284,994
Carex rostrata,2001,637
Carex spicata,1279,553
Carex sylvatica,2204,307
Carex trinervis,913,90
Carex vesicaria,1072,438
Carlina vulgaris,2806,102
Carpinus betulus,3332,1248
Carpocoris purpureipennis,1425,498
Carpodacus erythrinus,774,239
Carterocephalus palaemon,588,158
Cartodere bifasciata,442,257
Cassida nebulosa,322,159
Cassida rubiginosa,471,333
Cassida vibex,617,422
Castanea sativa,3604,1293
Castor fiber,5554,852
Catabrosa aquatica,480,174
Cataclysta lemnata,2154,1743
Catalpa bignonioides,380,244
Catapodium marinum,832,104
Catapodium rigidum,1294,282
Catillaria chalybeia,792,489
Catillaria fungoides,439,265
Catillaria nigroclavata,821,460
Catocala fraxini,351,249
Catocala nupta,1382,1645
Catocala sponsa,979,895
Catoptria falsella,922,940
Catoptria margaritellus,510,354
Catoptria permutatellus,569,561
Catoptria pinella,1046,873
Catoptria verellus,956,878
Cauchas rufimitrella,606,859
Cecidophyes galii,419,301
Cedestis subfasciella,319,199
Celastrina argiolus,2995,1938
Celypha rufana,588,346
Celypha striana,1525,964
Centaurea cyanus,2802,1819
Centaurea jacea,4400,1885
Centaurea montana,720,446
Centaurea nigra,373,334
Centaurea scabiosa,2357,465
Centaurium erythraea,2314,894
Centaurium littorale,2007,225
Centaurium pulchellum,1667,627
Centranthus ruber,2125,723
Cepaea hortensis,1116,362
Cepaea nemoralis,4188,1948
Cephaloziella divaricata,334,201
